Height_Actual,Height,Yield,Canopy
17.759,18.085,58.422,0.7395
17.781,17.622,59.057,0.84738
17.933,18.384,59.937,0.91113
18.823,18.656,63.939,0.97247
19.503,18.801,64.042,0.97699
9.7767,10.182,48.665,0.25365
11.467,12.191,49.048,0.32761
11.502,11.758,49.265,0.34237
12.474,11.275,49.285,0.40125
12.687,13.11,53.402,0.42018
13.392,14.417,53.534,0.52135
13.663,12.739,56.908,0.55834
13.903,14.604,58.521,0.5685
15.115,15.601,59.279,0.61531
15.245,14.811,60.287,0.64475
15.643,15.367,61.305,0.67122
16.324,15.285,61.772,0.70967
18.403,19.507,62.419,0.71054
19.695,19.178,62.458,0.76057
8.9743,8.9854,48.073,0.2439
8.9787,8.8125,49.208,0.30876
9.0914,9.2214,49.593,0.39889
10.715,10.747,49.774,0.41702
12.874,12.246,49.928,0.46306
13.136,13.133,55.584,0.56296
13.746,13.747,58.159,0.57827
15.664,15.494,58.723,0.60582
16.221,16.353,58.954,0.63367
16.394,16.062,61.926,0.67737
16.417,15.879,61.99,0.68668
17.405,17.253,62.482,0.71485
18.234,17.94,62.861,0.84698
18.607,18.025,64.264,0.86335
8.8085,9.1279,48.517,0.20624
9.7919,9.645,48.996,0.22058
11.289,11.509,49.301,0.27935
11.969,11.813,49.916,0.30865
12.472,12.66,49.935,0.45249
12.842,13.123,51.016,0.47583
13.589,13.614,53.369,0.53031
13.595,13.046,55.708,0.60071
16.08,15.945,57.716,0.69523
17.392,16.936,59.026,0.75035
17.457,17.674,61.86,0.75929
17.851,17.665,62.941,0.77646
18.611,18.287,63.854,0.83314
19.812,20.075,64.91,0.98259
9.4467,9.8595,48.615,0.34778
9.6865,9.1655,49.406,0.48002
10.647,10.637,49.547,0.53535
10.719,10.956,50.908,0.54925
11.195,11.161,51.498,0.63046
11.68,12.51,51.964,0.65812
12.358,12.238,52.326,0.80896
12.483,12.752,52.732,0.85324
14.044,13.502,52.972,0.90984
14.206,13.894,53.386,0.93425
14.704,14.9,54.242,0.94805
17.538,17.831,56.586,0.97706
17.543,17.674,58.046,0.98295
18.84,19.811,63.994,0.98566
8.1296,7.9034,48.068,0.2385
8.624,8.3712,49.611,0.24318
9.7454,10.208,50.814,0.30564
10.024,9.657,51.495,0.36195
10.431,11.422,51.644,0.38485
12.583,12.333,52.47,0.45869
13.447,13.31,52.864,0.67502
14.136,14.641,54.536,0.86307
14.45,14.099,55.416,0.86442
16.833,17.253,56.049,0.88312
17.014,17.368,56.716,0.91061
17.725,17.245,62.441,0.92452
18.746,19.119,63.704,0.96308
19.655,19.808,64.865,0.9789
8.986,8.7374,50.362,0.2549
9.0543,8.7723,50.437,0.32657
9.7376,9.7461,51.813,0.34655
11.212,11.32,53.097,0.52448
11.724,11.354,58.374,0.52573
12.51,12.652,59.685,0.52876
13.432,13.377,61.074,0.64993
14.707,14.332,61.475,0.72938
15.568,15.113,61.759,0.84155
16.734,16.482,62.102,0.85907
17.29,16.931,62.654,0.88796
18.763,19.243,62.805,0.89004
18.788,18.279,63.666,0.93969
19.833,19.892,63.801,0.99018
9.0373,9.2701,49.248,0.20139
9.3735,8.9402,50.052,0.28485
9.5396,9.7045,50.187,0.32687
12.864,12.648,50.347,0.33096
13.084,12.689,50.713,0.54931
13.448,12.795,52.323,0.63995
13.987,13.562,52.494,0.68162
14.616,15.383,53.964,0.68857
14.781,14.079,54.461,0.77652
15.008,14.716,55.193,0.77726
17.325,16.809,55.983,0.89149
17.437,17.778,57.69,0.90947
18.665,18.254,63.428,0.97923
19.618,19.42,64.919,0.99278
9.5044,9.8276,48.427,0.27097
11.932,12.349,49.295,0.27266
11.977,11.488,49.674,0.28021
12.048,11.962,50.272,0.45974
12.073,12.243,50.515,0.48958
13.639,13.634,51.294,0.50056
13.677,14.513,51.932,0.74174
14.692,15.272,53.105,0.75091
14.919,15.515,55.342,0.80306
15.513,14.594,56.13,0.8304
15.534,15.376,57.521,0.86044
16.258,16.151,58.3,0.9324
19.014,18.528,58.391,0.96532
19.157,18.804,63.792,0.98358
9.8548,10.179,51.025,0.22279
10.319,9.6939,51.728,0.24214
10.805,11.328,54.607,0.34698
10.853,11.597,54.985,0.50038
11.081,11.087,56.094,0.50273
11.809,12.613,58.018,0.5966
12.03,12.748,58.403,0.6915
12.439,12.475,58.96,0.70498
12.803,12.624,61.249,0.70641
13.002,13.384,62.398,0.75042
15.298,15.001,63.101,0.80109
17.595,17.516,63.515,0.86307
18.629,19.165,63.593,0.87771
19.447,18.995,64.029,0.97011
