Height,Canopy,Yield
15.459,0.94805,54.242
14.303,0.97706,56.586
19.127,0.98295,58.046
19.72,0.98566,63.994
7.1009,0.2385,48.068
9.8064,0.24318,49.611
12.474,0.30564,50.814
10.213,0.36195,51.495
14.433,0.38485,51.644
15.432,0.45869,52.47
16.246,0.67502,52.864
14.638,0.86307,54.536
16.671,0.86442,55.416
15.449,0.88312,56.049
16.702,0.91061,56.716
17.565,0.92452,62.441
19.413,0.96308,63.704
19.402,0.9789,64.865
6.5093,0.2549,50.362
10.776,0.32657,50.437
8.7438,0.34655,51.813
10.013,0.52448,53.097
11.684,0.52573,58.374
13.181,0.52876,59.685
14.801,0.64993,61.074
13.748,0.72938,61.475
13.188,0.84155,61.759
13.571,0.85907,62.102
13.912,0.88796,62.654
13.723,0.89004,62.805
17.835,0.93969,63.666
17.69,0.99018,63.801
6.8169,0.20139,49.248
9.4032,0.28485,50.052
12.743,0.32687,50.187
11.033,0.33096,50.347
14.02,0.54931,50.713
13.867,0.63995,52.323
15.426,0.68162,52.494
13.913,0.68857,53.964
15.805,0.77652,54.461
15.393,0.77726,55.193
17.615,0.89149,55.983
19.016,0.90947,57.69
18.521,0.97923,63.428
17.59,0.99278,64.919
10.18,0.27097,48.427
10.221,0.27266,49.295
10.118,0.28021,49.674
11.735,0.45974,50.272
9.672,0.48958,50.515
13.582,0.50056,51.294
13.115,0.74174,51.932
16.485,0.75091,53.105
15.33,0.80306,55.342
15.951,0.8304,56.13
18.442,0.86044,57.521
20.695,0.9324,58.3
20.687,0.96532,58.391
18.756,0.98358,63.792
8.3288,0.22279,51.025
11.842,0.24214,51.728
11.491,0.34698,54.607
12.481,0.50038,54.985
12.506,0.50273,56.094
16.907,0.5966,58.018
14.392,0.6915,58.403
17.091,0.70498,58.96
17.451,0.70641,61.249
17.114,0.75042,62.398
17.059,0.80109,63.101
14.945,0.86307,63.515
18.912,0.87771,63.593
18.054,0.97011,64.029
